City,Date,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,AQI
Ahmedabad,2017-10-11,61.72,,,,36.6,,,,9.73,105.0
Ahmedabad,2017-10-21,126.57,,,,46.52,,,,27.85,319.0
Ahmedabad,2017-10-22,59.26,,,,28.25,,,,26.22,146.0
Ahmedabad,2017-10-23,51.72,,,,34.62,,,,24.71,80.0
Ahmedabad,2017-10-24,67.4,,,,37.53,,,,19.89,102.0
Ahmedabad,2017-10-25,79.49,,175.81,28.34,89.33,,175.81,62.62,18.21,459.0
Ahmedabad,2017-10-26,112.25,,104.94,36.61,141.28,,104.94,43.78,23.6,1426.0
Ahmedabad,2017-10-27,133.07,,70.84,51.06,121.9,,70.84,61.91,32.46,1348.0
Ahmedabad,2017-10-28,93.96,,71.28,46.94,118.1,,71.28,47.05,6.36,1073.0
Ahmedabad,2017-10-29,93.7,,55.17,53.13,108.3,,55.17,47.28,21.54,952.0
Ahmedabad,2017-11-03,96.65,,24.81,67.28,66.67,,24.81,67.31,33.84,550.0
Ahmedabad,2017-11-04,107.09,,16.58,95.73,59.61,,16.58,104.29,44.5,538.0
Ahmedabad,2017-11-05,119.02,,17.91,82.3,53.51,,17.91,101.88,77.28,498.0
Ahmedabad,2017-11-06,83.86,,36.74,82.94,67.88,,36.74,90.76,52.82,517.0
Ahmedabad,2017-11-07,72.67,,42.99,108.74,85.13,,42.99,106.41,27.74,901.0
Ahmedabad,2017-11-08,94.32,,62.88,105.75,98.51,,62.88,127.84,55.03,929.0
Ahmedabad,2017-11-09,89.0,,38.8,119.82,87.41,,38.8,131.99,42.9,850.0
Ahmedabad,2017-11-10,85.35,,48.64,105.07,87.55,,48.64,111.22,62.31,669.0
Ahmedabad,2017-11-11,101.25,,51.7,106.82,90.69,,51.7,113.03,58.29,1141.0
Ahmedabad,2017-11-12,90.02,,47.15,99.02,83.49,,47.15,130.27,67.89,707.0
Ahmedabad,2017-11-13,119.17,,98.33,98.11,121.12,,98.33,110.08,48.07,1577.0
Ahmedabad,2017-11-14,207.19,,118.02,146.18,159.36,,118.02,160.06,37.21,1747.0
Ahmedabad,2017-11-15,148.83,,45.88,29.79,48.57,,45.88,113.64,36.02,1065.0
Ahmedabad,2017-11-16,85.32,,5.06,31.48,15.88,,5.06,124.92,28.71,195.0
Ahmedabad,2017-11-17,143.07,,5.85,73.39,40.17,,5.85,132.05,42.6,291.0
Ahmedabad,2017-11-18,140.88,,6.11,76.05,41.66,,6.11,130.2,26.06,313.0
Ahmedabad,2017-11-19,99.77,,10.23,73.33,43.4,,10.23,99.05,37.6,333.0
Ahmedabad,2017-11-20,119.99,,6.84,73.41,40.92,,6.84,81.21,48.09,338.0
Ahmedabad,2017-11-21,111.92,,15.17,81.11,50.89,,15.17,112.56,62.34,371.0
Ahmedabad,2017-11-22,96.51,,15.07,84.06,52.25,,15.07,102.74,74.34,463.0
Ahmedabad,2017-11-23,80.52,,24.0,88.07,60.87,,24.0,118.4,55.49,419.0
Ahmedabad,2017-11-24,92.8,,45.76,102.15,83.98,,45.76,143.12,55.83,700.0
Ahmedabad,2017-11-25,102.26,,37.88,111.94,117.06,,37.88,140.1,45.65,1043.0
Ahmedabad,2017-11-26,108.19,,55.69,109.21,94.83,,55.69,117.82,47.4,1029.0
Ahmedabad,2017-11-27,93.87,,69.71,102.93,102.24,,69.71,122.74,43.8,1041.0
Ahmedabad,2017-11-28,109.53,,55.08,117.71,98.52,,55.08,123.22,43.0,1430.0
Ahmedabad,2017-11-29,79.34,,14.63,106.33,62.78,,14.63,113.88,54.62,765.0
Ahmedabad,2017-11-30,93.05,,40.22,94.66,76.19,,40.22,104.74,60.03,599.0
Ahmedabad,2017-12-01,85.51,,30.39,98.09,70.53,,30.39,107.36,40.02,764.0
Ahmedabad,2017-12-02,80.89,,6.14,71.52,39.47,,6.14,103.62,78.13,330.0
Ahmedabad,2017-12-03,58.62,,5.49,61.64,34.16,,5.49,88.67,86.71,205.0
Ahmedabad,2017-12-04,68.53,,5.78,61.38,34.25,,5.78,85.69,88.35,164.0
Ahmedabad,2017-12-05,81.38,,5.9,55.07,31.27,,5.9,58.91,39.29,187.0
Ahmedabad,2017-12-06,56.54,,5.46,32.13,19.75,,5.46,31.81,66.39,149.0
Ahmedabad,2017-12-07,74.08,,7.19,57.73,33.53,,7.19,45.02,40.27,215.0
Ahmedabad,2017-12-08,62.76,,5.58,62.02,34.05,,5.58,74.08,83.18,284.0
Ahmedabad,2017-12-09,86.09,,5.9,72.14,39.59,,5.9,114.3,59.39,167.0
Ahmedabad,2017-12-10,59.74,,26.28,77.12,57.23,,26.28,98.31,42.01,337.0
Ahmedabad,2017-12-11,87.13,,28.06,56.52,48.51,,28.06,115.96,53.61,696.0
Ahmedabad,2017-12-12,52.15,,15.98,65.44,43.85,,15.98,86.58,58.81,295.0
Ahmedabad,2017-12-13,67.51,,20.79,88.83,58.85,,20.79,112.57,51.5,565.0
Ahmedabad,2017-12-14,70.08,,11.42,81.65,48.35,,11.42,116.77,61.73,400.0
Ahmedabad,2017-12-15,86.9,,7.54,76.2,42.8,,7.54,105.41,72.02,250.0
Ahmedabad,2017-12-16,77.34,,6.33,61.41,34.68,,6.33,102.44,75.64,232.0
Ahmedabad,2017-12-17,65.93,,5.7,45.55,26.48,,5.7,99.74,105.69,174.0
Ahmedabad,2017-12-18,66.58,,7.16,62.16,35.66,,7.16,98.89,66.87,198.0
Ahmedabad,2017-12-19,62.24,,17.88,88.65,56.59,,17.88,109.76,48.64,340.0
Ahmedabad,2017-12-20,62.07,,8.72,72.18,41.72,,8.72,102.25,56.86,355.0
Ahmedabad,2017-12-21,72.04,,7.78,73.92,41.87,,7.78,114.05,73.53,246.0
Ahmedabad,2017-12-22,67.44,,5.95,62.74,35.05,,5.95,99.05,93.19,216.0
Ahmedabad,2017-12-23,77.76,,25.81,78.94,57.77,,25.81,110.69,79.46,306.0
Ahmedabad,2017-12-24,96.71,,19.89,101.08,64.15,,19.89,127.91,54.97,650.0
Ahmedabad,2017-12-25,75.14,,29.6,89.68,65.84,,29.6,116.39,67.14,515.0
Ahmedabad,2017-12-26,69.27,,15.17,79.33,52.7,,15.17,85.87,65.28,529.0
Ahmedabad,2017-12-27,71.54,,26.95,89.06,63.56,,26.95,111.43,65.58,404.0
Ahmedabad,2017-12-28,104.13,,43.47,101.35,81.88,,43.47,113.39,58.08,773.0
Ahmedabad,2017-12-29,88.93,,30.55,93.2,68.26,,30.55,112.46,61.52,763.0
Ahmedabad,2017-12-30,82.03,,14.9,92.12,56.06,,14.9,113.34,65.25,474.0
Ahmedabad,2017-12-31,84.43,,6.85,74.68,41.54,,6.85,115.41,90.79,343.0
Ahmedabad,2018-01-01,84.46,,7.58,87.62,48.4,,7.58,102.36,69.02,278.0
Ahmedabad,2018-01-02,76.51,,9.26,76.69,44.32,,9.26,103.46,93.51,256.0
Ahmedabad,2018-01-03,63.88,,13.87,69.32,44.16,,13.87,70.3,105.33,300.0
Ahmedabad,2018-01-04,81.1,,19.42,109.07,67.15,,19.42,93.3,65.69,532.0
Ahmedabad,2018-01-05,73.61,,25.96,173.08,103.8,,25.96,93.86,36.51,534.0
Ahmedabad,2018-01-06,75.79,,31.55,146.8,95.16,,31.55,113.82,41.95,738.0
Ahmedabad,2018-01-07,77.87,,23.19,137.62,84.44,,23.19,107.58,50.46,622.0
Ahmedabad,2018-01-08,77.72,,8.91,135.66,72.82,,8.91,101.93,48.73,517.0
Ahmedabad,2018-01-09,66.89,,5.86,92.57,49.53,,5.86,89.53,68.56,216.0
Ahmedabad,2018-01-10,74.57,,16.31,133.53,77.31,,16.31,103.2,55.23,316.0
Ahmedabad,2018-01-11,89.1,,44.57,137.16,100.17,,44.57,92.55,59.41,586.0
Ahmedabad,2018-01-12,110.34,,30.4,150.93,94.57,,30.4,95.48,47.58,898.0
Ahmedabad,2018-01-13,82.53,,20.58,150.48,88.76,,20.58,106.65,43.23,421.0
Ahmedabad,2018-01-14,108.01,,22.69,132.63,81.63,,22.69,86.78,10.99,542.0
Ahmedabad,2018-01-15,92.94,,14.34,114.26,66.44,,14.34,83.85,51.68,610.0
Ahmedabad,2018-01-16,87.3,,44.01,163.43,112.56,,44.01,127.99,12.21,716.0
Ahmedabad,2018-01-17,89.06,,29.54,132.69,86.77,,29.54,119.07,41.74,804.0
Ahmedabad,2018-01-18,51.61,,32.42,127.3,86.29,,32.42,100.99,31.7,656.0
Ahmedabad,2018-01-19,91.13,,65.07,169.17,131.09,,65.07,128.78,25.03,1201.0
Ahmedabad,2018-01-21,108.92,,30.7,273.39,155.55,,30.7,113.34,59.23,595.0
Ahmedabad,2018-01-22,89.63,,9.92,141.29,76.32,,9.92,124.11,70.9,384.0
Ahmedabad,2018-01-23,55.27,,29.44,86.96,66.11,,29.44,91.67,47.71,332.0
Ahmedabad,2018-01-24,97.88,,52.63,123.1,111.32,,52.63,100.55,40.9,1155.0
Ahmedabad,2018-01-25,128.56,,89.57,160.65,157.6,,89.57,124.43,40.06,1355.0
Ahmedabad,2018-01-26,103.63,,52.92,173.52,132.44,,52.92,96.19,43.5,1367.0
Ahmedabad,2018-01-27,102.16,,15.17,145.55,82.32,,15.17,137.02,63.22,795.0
Ahmedabad,2018-01-28,89.53,,35.38,122.51,94.35,,35.38,156.59,83.69,430.0
Ahmedabad,2018-01-29,101.92,,65.27,189.67,141.23,,65.27,125.54,41.52,1153.0
Ahmedabad,2018-01-30,117.99,,83.78,203.41,161.75,,83.78,147.58,41.0,1414.0
Ahmedabad,2018-01-31,115.79,,42.54,166.11,124.97,,42.54,151.92,32.24,1042.0
Ahmedabad,2018-02-01,189.12,,94.0,178.13,160.97,,94.0,168.44,39.06,1613.0
Ahmedabad,2018-02-02,88.37,,15.14,155.73,87.26,,15.14,106.29,44.14,433.0
Ahmedabad,2018-02-03,96.64,,73.16,201.59,152.93,,73.16,146.13,7.97,692.0
Ahmedabad,2018-02-04,98.0,,71.48,201.17,151.47,,71.48,146.25,7.94,620.0
Ahmedabad,2018-02-05,93.31,,49.85,186.16,128.01,,49.85,142.83,32.93,617.0
Ahmedabad,2018-02-06,104.89,,25.46,153.96,94.11,,25.46,121.22,38.11,590.0
Ahmedabad,2018-02-07,109.34,,27.03,156.18,96.35,,27.03,121.57,49.84,856.0
Ahmedabad,2018-02-08,70.25,,48.11,140.78,105.05,,48.11,97.56,55.79,587.0
Ahmedabad,2018-02-09,103.17,,108.99,173.67,166.23,,108.99,125.46,42.09,1423.0
Ahmedabad,2018-02-10,185.77,,124.01,172.84,186.66,,124.01,120.94,40.97,1917.0
Ahmedabad,2018-02-11,84.48,,20.33,99.65,63.78,,20.33,151.24,29.52,471.0
Ahmedabad,2018-02-12,89.41,,28.93,130.93,85.46,,28.93,110.86,34.08,488.0
Ahmedabad,2018-02-13,64.61,,10.31,117.16,64.84,,10.31,104.81,51.44,471.0
Ahmedabad,2018-02-14,65.35,,6.17,104.31,53.74,,6.17,59.29,64.67,172.0
Ahmedabad,2018-02-15,52.18,,32.36,106.89,76.29,,32.36,84.2,62.74,390.0
Ahmedabad,2018-02-16,75.13,,36.67,176.38,113.4,,36.67,124.9,67.84,802.0
Ahmedabad,2018-02-17,83.65,,47.49,180.34,123.41,,47.49,130.27,47.95,1035.0
Ahmedabad,2018-02-18,220.49,,108.73,177.19,178.15,,108.73,133.39,41.76,1477.0
Ahmedabad,2018-02-19,242.66,,132.47,199.17,246.03,,132.47,,44.06,2049.0
Ahmedabad,2018-02-20,114.78,,74.41,159.18,138.66,,74.41,122.06,32.35,1314.0
Ahmedabad,2018-02-21,92.92,,66.96,164.78,130.45,,66.96,123.47,46.91,1215.0
Ahmedabad,2018-02-22,91.66,,92.86,135.71,136.23,,92.86,108.4,46.15,1483.0
Ahmedabad,2018-02-23,138.4,,134.85,141.97,169.89,,134.85,127.68,25.63,1526.0
Ahmedabad,2018-02-26,49.18,,30.05,135.69,88.62,,30.05,123.83,40.63,460.0
Ahmedabad,2018-02-27,56.42,,35.02,152.62,100.58,,35.02,124.25,44.79,700.0
Ahmedabad,2018-02-28,60.36,,18.78,177.23,100.47,,18.78,124.95,51.14,831.0
Ahmedabad,2018-03-01,54.45,,8.51,116.22,63.04,,8.51,167.13,9.36,291.0
Ahmedabad,2018-03-02,53.5,,4.52,105.31,54.74,,4.52,171.32,,132.0
Ahmedabad,2018-03-03,41.64,,13.79,104.44,61.23,,13.79,109.4,63.12,212.0
Ahmedabad,2018-03-04,32.36,,25.68,78.27,57.34,,25.68,71.59,44.82,717.0
Ahmedabad,2018-03-05,29.98,,22.14,114.5,72.38,,22.14,97.02,37.0,525.0
Ahmedabad,2018-03-06,33.3,,52.23,128.12,111.18,,52.23,99.65,42.05,777.0
Ahmedabad,2018-03-07,56.51,,10.58,121.56,66.9,,10.58,81.19,54.42,807.0
Ahmedabad,2018-03-08,88.85,,46.93,147.44,109.62,,46.93,82.23,67.24,520.0
Ahmedabad,2018-03-09,111.68,,41.3,119.71,108.46,,41.3,94.48,53.57,1171.0
Ahmedabad,2018-03-10,114.06,,52.37,131.09,118.44,,52.37,82.54,56.94,1332.0
Ahmedabad,2018-03-11,116.93,,31.48,118.96,104.3,,31.48,98.31,53.2,1260.0
Ahmedabad,2018-03-12,84.19,,51.41,136.64,105.02,,51.41,101.89,50.69,708.0
Ahmedabad,2018-03-13,98.53,,70.03,101.27,105.37,,70.03,82.76,38.63,1108.0
Ahmedabad,2018-03-14,84.16,,17.12,91.61,57.46,,17.12,72.88,24.38,761.0
Ahmedabad,2018-03-15,71.82,,37.72,77.57,75.31,,37.72,59.98,46.07,541.0
Ahmedabad,2018-03-16,80.51,,80.75,83.56,104.64,,80.75,45.11,36.86,1274.0
Ahmedabad,2018-03-17,133.48,,54.16,112.13,95.12,,54.16,93.54,45.02,1241.0
Ahmedabad,2018-03-18,116.54,,45.17,140.86,103.35,,45.17,118.35,10.65,1210.0
Ahmedabad,2018-03-19,98.49,,17.14,87.62,55.53,,17.14,56.14,,301.0
Ahmedabad,2018-03-20,160.68,,14.93,97.06,58.49,,14.93,51.32,59.78,549.0
Ahmedabad,2018-03-21,102.05,,15.35,81.15,51.04,,15.35,57.4,47.29,414.0
Ahmedabad,2018-03-22,100.33,,9.58,92.44,52.24,,9.58,37.78,60.16,484.0
Ahmedabad,2018-03-23,99.73,,30.04,152.23,96.68,,30.04,75.71,62.24,577.0
Ahmedabad,2018-03-24,104.22,,39.51,142.95,118.86,,39.51,72.1,52.74,862.0
Ahmedabad,2018-03-25,109.8,,30.62,132.61,87.54,,30.62,99.72,57.77,889.0
Ahmedabad,2018-03-26,124.44,,42.25,147.48,125.33,,42.25,119.98,51.56,1001.0
Ahmedabad,2018-03-27,180.27,,63.29,156.21,132.31,,63.29,118.43,50.27,1156.0
Ahmedabad,2018-03-28,138.6,,13.28,93.81,55.67,,13.28,116.67,55.1,691.0
Ahmedabad,2018-03-29,139.21,,61.15,148.06,117.86,,61.15,103.12,63.73,308.0
Ahmedabad,2018-03-30,154.09,,51.8,101.12,94.39,,51.8,111.55,48.08,965.0
Ahmedabad,2018-03-31,121.0,,14.95,93.59,56.81,,14.95,119.43,50.94,1434.0
Ahmedabad,2018-04-01,80.56,,44.37,126.32,95.06,,44.37,118.21,52.22,579.0
Ahmedabad,2018-04-02,103.75,,22.81,98.54,65.46,,22.81,117.34,50.17,1034.0
Ahmedabad,2018-04-03,75.68,,10.93,70.57,42.58,,10.93,106.94,68.45,498.0
Ahmedabad,2018-04-04,62.83,,21.11,68.69,49.24,,21.11,67.09,71.3,265.0
Ahmedabad,2018-04-05,104.23,,40.3,69.08,63.98,,40.3,19.21,42.57,740.0
Ahmedabad,2018-04-06,91.04,,5.88,64.6,35.89,,5.88,74.09,29.65,856.0
Ahmedabad,2018-04-07,90.13,,15.24,81.38,51.07,,15.24,73.62,73.07,304.0
Ahmedabad,2018-04-08,160.43,,19.45,65.53,46.48,,19.45,49.95,55.47,657.0
Ahmedabad,2018-04-09,94.55,,20.11,58.27,43.43,,20.11,51.53,57.33,403.0
Ahmedabad,2018-04-10,124.59,,30.88,67.31,55.88,,30.88,82.97,27.52,596.0
Ahmedabad,2018-04-11,92.5,,18.14,61.82,43.69,,18.14,77.85,22.98,392.0
Ahmedabad,2018-04-12,86.29,,16.35,60.84,41.88,,16.35,82.34,31.03,414.0
Ahmedabad,2018-04-13,104.21,,22.52,72.51,52.07,,22.52,65.42,39.14,442.0
Ahmedabad,2018-04-14,88.5,,26.61,60.36,49.28,,26.61,3.3,32.95,438.0
Ahmedabad,2018-04-15,84.47,,23.17,61.41,47.25,,23.17,3.3,45.89,561.0
Ahmedabad,2018-04-16,73.54,,29.4,62.95,52.65,,29.4,3.3,,660.0
Ahmedabad,2018-04-17,53.89,,31.91,58.22,52.21,,31.91,18.91,60.58,616.0
Ahmedabad,2018-04-18,60.08,,48.77,47.34,60.53,,48.77,22.65,51.62,855.0
Ahmedabad,2018-04-19,53.13,,12.2,44.61,30.87,,12.2,94.03,36.42,633.0
Ahmedabad,2018-04-20,71.3,,7.93,35.8,23.38,,7.93,63.28,34.83,274.0
Ahmedabad,2018-04-21,37.9,,4.96,31.24,18.93,,4.96,16.31,34.76,210.0
Ahmedabad,2018-04-22,78.18,,20.3,71.56,50.06,,20.3,51.41,10.44,478.0
Ahmedabad,2018-04-23,56.35,,25.34,86.03,60.88,,25.34,15.96,77.4,465.0
Ahmedabad,2018-04-24,59.66,,47.44,77.68,77.3,,47.44,26.01,63.51,836.0
Ahmedabad,2018-04-25,114.6,,42.76,36.29,49.36,,42.76,22.99,56.47,1235.0
Ahmedabad,2018-04-26,74.48,,9.84,51.25,32.34,,9.84,48.6,37.97,525.0
Ahmedabad,2018-04-27,81.11,,25.37,48.95,42.76,,25.37,40.55,26.21,525.0
Ahmedabad,2018-04-28,100.39,,10.39,42.83,28.5,,10.39,42.89,30.16,650.0
Ahmedabad,2018-04-29,39.97,,7.15,32.39,19.83,,7.15,30.7,36.08,219.0
Ahmedabad,2018-04-30,53.61,,16.93,37.01,19.98,,16.93,51.64,16.92,328.0
Ahmedabad,2018-05-01,63.06,,13.88,28.22,24.09,,13.88,69.46,25.88,351.0
Ahmedabad,2018-05-02,46.17,,10.7,30.48,22.85,,10.7,51.35,27.9,286.0
Ahmedabad,2018-05-03,61.24,,14.21,35.33,27.84,,14.21,82.15,9.69,337.0
Ahmedabad,2018-05-04,41.81,,8.66,27.69,19.91,,8.66,36.92,,249.0
Ahmedabad,2018-05-05,55.09,,15.63,33.93,28.21,,15.63,57.46,,376.0
Ahmedabad,2018-05-06,65.54,,13.95,36.07,27.95,,13.95,87.14,,415.0
Ahmedabad,2018-05-07,41.04,,7.56,28.36,19.48,,7.56,54.07,,228.0
Ahmedabad,2018-05-08,49.71,,9.59,28.6,21.11,,9.59,53.54,34.54,266.0
Ahmedabad,2018-05-09,44.75,,10.25,28.9,21.64,,10.25,65.8,28.02,257.0
Ahmedabad,2018-05-10,45.84,,26.72,29.72,34.15,,26.72,61.44,35.85,409.0
Ahmedabad,2018-05-11,76.36,,8.33,33.82,22.72,,8.33,96.8,51.0,524.0
Ahmedabad,2018-05-12,44.79,,7.28,32.12,21.1,,7.28,74.84,37.9,222.0
Ahmedabad,2018-05-13,50.16,,13.86,28.17,24.09,,13.86,80.78,28.52,332.0
Ahmedabad,2018-05-14,49.07,,8.51,30.74,21.34,,8.51,88.3,27.48,272.0
Ahmedabad,2018-05-15,46.06,,7.07,27.6,18.74,,7.07,59.55,32.54,232.0
Ahmedabad,2018-05-16,52.82,,9.88,28.48,21.26,,9.88,73.73,27.07,247.0
Ahmedabad,2018-05-17,53.39,,6.91,30.28,19.9,,6.91,56.45,31.93,254.0
Ahmedabad,2018-05-18,59.44,,6.67,31.77,20.48,,6.67,86.73,38.54,236.0
Ahmedabad,2018-05-19,71.01,,7.69,38.17,24.36,,7.69,106.62,24.78,273.0
Ahmedabad,2018-05-20,59.98,,8.89,31.95,22.22,,8.89,97.46,,273.0
Ahmedabad,2018-05-21,50.7,,8.58,33.44,22.69,,8.58,27.74,59.94,256.0
Ahmedabad,2018-05-22,69.87,,6.96,34.82,22.14,,6.96,16.35,40.76,217.0
Ahmedabad,2018-05-23,61.53,,10.41,42.53,28.52,,10.41,17.94,48.3,291.0
Ahmedabad,2018-05-24,67.03,,10.37,38.68,26.61,,10.37,21.21,32.34,314.0
Ahmedabad,2018-05-25,43.37,,20.03,35.01,32.02,,20.03,56.38,40.07,355.0
Ahmedabad,2018-05-26,60.05,,22.86,40.83,36.98,,22.86,95.07,33.52,587.0
Ahmedabad,2018-05-27,56.93,,10.46,30.45,22.62,,10.46,102.66,37.12,535.0
Ahmedabad,2018-05-28,44.14,,18.18,18.82,24.15,,18.18,109.33,31.1,366.0
Ahmedabad,2018-05-29,69.0,,25.24,7.32,21.03,,25.24,131.7,,404.0
Ahmedabad,2018-06-01,78.16,,18.21,55.31,40.57,,18.21,59.64,15.87,355.0
Ahmedabad,2018-06-02,83.27,,15.82,50.38,36.38,,15.82,46.16,18.23,338.0
Ahmedabad,2018-06-03,63.79,,14.35,48.44,34.34,,14.35,56.5,,351.0
Ahmedabad,2018-06-04,50.27,,9.53,46.15,29.62,,9.53,43.76,,280.0
Ahmedabad,2018-06-05,51.54,,13.48,51.04,34.95,,13.48,37.58,6.9,297.0
Ahmedabad,2018-06-06,54.35,,11.58,50.45,33.25,,11.58,49.66,14.85,319.0
Ahmedabad,2018-06-07,53.59,,10.18,45.53,29.81,,10.18,59.53,17.93,247.0
Ahmedabad,2018-06-08,55.77,,13.06,45.87,32.12,,13.06,44.42,13.14,321.0
Ahmedabad,2018-06-09,63.58,,13.97,43.32,31.56,,13.97,63.59,5.08,319.0
Ahmedabad,2018-06-10,103.08,,16.31,59.19,39.35,,16.31,53.73,,345.0
Ahmedabad,2018-06-11,78.25,,24.41,35.12,35.35,,24.41,44.25,14.76,492.0
Ahmedabad,2018-06-12,77.84,,35.49,31.88,42.03,,35.49,44.19,21.0,491.0
Ahmedabad,2018-06-13,69.99,,39.53,43.61,50.77,,39.53,30.82,21.49,503.0
Ahmedabad,2018-06-14,78.7,,43.78,42.9,53.6,,43.78,31.43,20.06,523.0
Ahmedabad,2018-06-15,59.96,,43.3,36.48,50.1,,43.3,34.88,17.65,539.0
Ahmedabad,2018-06-16,48.27,,38.0,36.24,46.04,,38.0,34.93,18.73,492.0
Ahmedabad,2018-06-17,44.81,,41.38,35.46,48.18,,41.38,37.6,,513.0
Ahmedabad,2018-06-18,55.21,,39.11,35.74,46.62,,39.11,39.57,,497.0
Ahmedabad,2018-06-19,40.89,,29.34,44.16,43.44,,29.34,31.95,,433.0
Ahmedabad,2018-06-20,41.59,,35.38,49.96,50.77,,35.38,43.99,,484.0
Ahmedabad,2018-06-21,39.02,,33.35,49.53,49.05,,33.35,40.84,,471.0
Ahmedabad,2018-06-22,33.5,,38.95,49.55,53.24,,38.95,41.5,,502.0
Ahmedabad,2018-06-23,39.42,,35.54,51.25,51.52,,35.54,47.27,,495.0
Ahmedabad,2018-06-24,46.84,,65.72,54.72,73.09,,65.72,36.48,23.07,486.0
Ahmedabad,2018-06-25,51.63,,44.96,43.38,54.71,,44.96,27.32,,524.0
Ahmedabad,2018-06-26,38.12,,40.63,45.66,52.59,,40.63,26.76,,556.0
Ahmedabad,2018-06-27,27.79,,37.69,41.59,48.41,,37.69,39.2,13.74,508.0
Ahmedabad,2018-06-28,36.27,,25.63,45.79,41.46,,25.63,54.98,10.53,413.0
Ahmedabad,2018-06-29,76.41,,26.44,53.18,45.67,,26.44,43.42,2.05,421.0
Ahmedabad,2018-06-30,62.72,,21.89,50.49,40.97,,21.89,22.02,0.72,400.0
Ahmedabad,2018-07-01,48.12,,19.06,61.63,44.28,,19.06,24.98,0.91,361.0
Ahmedabad,2018-07-02,36.8,,21.07,53.33,41.74,,21.07,24.97,1.16,385.0
Ahmedabad,2018-07-03,41.37,,25.53,38.1,37.64,,25.53,18.91,1.08,428.0
Ahmedabad,2018-07-04,302.08,,27.2,28.1,34.0,,27.2,46.94,0.88,440.0
Ahmedabad,2018-07-05,37.15,,34.33,58.02,53.92,,34.33,34.41,1.04,510.0
Ahmedabad,2018-07-06,59.76,,29.58,57.8,50.27,,29.58,17.67,2.02,513.0
Ahmedabad,2018-07-07,71.94,,17.35,98.32,60.91,,17.35,25.74,2.03,365.0
Ahmedabad,2018-07-08,47.95,,17.08,151.73,87.48,,17.08,25.91,2.51,336.0
Ahmedabad,2018-07-09,55.91,,19.87,66.69,47.36,,19.87,32.64,1.8,377.0
Ahmedabad,2018-07-10,72.06,,24.72,59.1,47.28,,24.72,32.64,1.26,442.0
Ahmedabad,2018-07-11,127.23,,29.02,37.32,39.86,,29.02,26.37,0.38,421.0
Ahmedabad,2018-07-12,127.37,,25.58,40.59,38.89,,25.58,34.39,2.77,428.0
Ahmedabad,2018-07-13,36.42,,30.52,49.52,46.93,,30.52,37.17,3.29,472.0
Ahmedabad,2018-07-14,40.97,,29.94,113.8,77.86,,29.94,22.82,3.69,478.0
Ahmedabad,2018-07-15,33.38,,20.68,62.15,45.75,,20.68,21.06,4.35,422.0
Ahmedabad,2018-07-16,33.51,,17.84,40.85,33.24,,17.84,28.85,7.95,347.0
Ahmedabad,2018-07-17,29.56,,30.82,74.11,59.15,,30.82,19.34,3.34,461.0
Ahmedabad,2018-07-18,21.89,,27.75,63.9,51.88,,27.75,16.32,3.02,447.0
Ahmedabad,2018-07-19,44.87,,31.41,68.29,56.75,,31.41,17.39,3.24,486.0
Ahmedabad,2018-07-20,33.16,,31.02,54.23,49.6,,31.02,17.09,4.47,510.0
Ahmedabad,2018-07-21,45.25,,35.01,61.65,56.2,,35.01,23.87,2.96,576.0
Ahmedabad,2018-07-22,48.95,,25.57,63.01,49.82,,25.57,19.19,2.96,485.0
Ahmedabad,2018-07-23,42.89,,34.86,51.28,51.03,,34.86,19.96,,488.0
Ahmedabad,2018-07-24,48.36,,43.24,57.71,60.42,,43.24,21.19,,613.0
Ahmedabad,2018-07-25,51.7,,39.25,54.05,55.65,,39.25,20.02,,577.0
Ahmedabad,2018-07-26,43.18,,29.79,51.27,47.24,,29.79,18.21,,474.0
Ahmedabad,2018-07-27,35.8,,29.72,48.89,46.03,,29.72,19.94,,458.0
Ahmedabad,2018-07-28,37.76,,23.91,45.39,39.98,,23.91,19.83,,428.0
Ahmedabad,2018-07-29,38.1,,27.77,47.92,44.1,,27.77,25.27,,429.0
Ahmedabad,2018-07-30,39.43,,29.96,47.83,45.69,,29.96,24.1,,461.0
Ahmedabad,2018-07-31,51.78,,28.69,45.29,43.51,,28.69,61.88,,450.0
Ahmedabad,2018-08-01,63.4,,26.58,48.24,43.36,,26.58,109.6,,453.0
Ahmedabad,2018-08-02,58.21,,25.51,49.85,43.35,,25.51,106.17,,459.0
Ahmedabad,2018-08-03,47.83,,25.73,49.36,43.28,,25.73,113.31,3.22,468.0
Ahmedabad,2018-08-04,53.64,,22.52,52.64,42.05,,22.52,96.72,2.86,424.0
Ahmedabad,2018-08-05,48.18,,18.31,51.41,38.75,,18.31,104.62,2.81,366.0
Ahmedabad,2018-08-06,56.75,,28.82,59.07,49.74,,28.82,126.12,4.84,465.0
Ahmedabad,2018-08-07,41.21,,25.18,38.73,37.68,,25.18,83.84,9.92,434.0
Ahmedabad,2018-08-08,37.33,,29.18,47.75,45.07,,29.18,58.25,6.63,470.0
Ahmedabad,2018-08-09,28.74,,25.17,45.61,41.03,,25.17,41.84,20.2,455.0
Ahmedabad,2018-08-10,34.05,,27.58,46.79,43.41,,27.58,29.66,22.77,489.0
Ahmedabad,2018-08-11,28.94,,21.18,53.02,41.66,,21.18,26.92,16.38,431.0
